ID,Source,Destination,Date
1,China,China,12/29/19
2,China,China,1/10/20
3,China,Thailand,1/13/20
4,China,Japan,1/16/20
5,China,China,1/19/20
6,China,China,1/19/20
7,China,Japan,1/20/20
8,China,Thailand,1/20/20
9,China,South Korea,1/20/20
10,China,United States,1/20/20
11,China,United States,1/21/20
12,China,Cambodia,1/23/20
13,China,Singapore,1/23/20
14,China,United States,1/24/20
15,China,France,1/24/20
16,China,Australia,1/25/20
17,China,Canada,1/25/20
18,China,United States,1/25/20
19,Singapore,Malaysia,1/25/20
20,Italy,Germany,1/27/20
21,China,China,1/28/20
22,China,UAE,1/29/20
23,China,Finland,1/29/20
24,China,Italy,1/30/20
25,China,India,1/30/20
26,China,Russia,1/31/20
27,China,Italy,1/31/20
28,Germany,Spain,1/31/20
29,China,Sweden,1/31/20
30,China,United Kingdom,1/31/20
31,China,Belgium,2/4/20
32,China,South Korea,2/6/20
33,China,Iran,2/19/20
34,Japan,srael,2/21/20
35,UAE,Bahrain ,2/21/20
36,Italy,Algeria,2/25/20
37,Italy,Austria ,2/25/20
38,Italy,Brazil,2/25/20
39,Italy,Greece ,2/26/20
40,Italy,Netherlands,2/27/20
41,Italy,United States,3/1/20
42,Iran,United States,3/1/20
43,Iran,United States,3/1/20
44,Italy,United States,3/2/20
45,Italy,United States,3/2/20
46,Italy,Andorra,3/2/20
47,Japan,Indonesia,3/2/20
48,Italy,Jordan,3/2/20
49,Iran,Latvia,3/2/20
50,Iran,Saudi Arabia,3/2/20
51,France,Senegal,3/2/20
52,Italy,Morocco,3/2/20
53,Italy,Tunisia,3/2/20
54,Italy,Argentina,3/3/20
55,Italy,Ukraine,3/3/20
56,Iran,Hungary,3/4/20
57,Italy,Bosnia and Herzegovina,3/4/20
58,Italy,Palestine,3/5/20
